"filename", "language", "Markdown", "JSON", "TypeScript", "JSON with Comments", "HTML", "TypeScript JSX", "JavaScript", "Shell Script", "PostCSS", "comment", "blank", "total"
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/app/api/stripe/create-credit-session/route.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/app/api/stripe/create-subscription/route.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 0, 0, 0, 11, 16, 137
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/app/api/stripe/webhooks/route.ts", "TypeScript", 0, 0, 239, 0, 0, 0, 0, 0, 0, 16, 50, 305
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/AnalysisResults.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 293, 0, 0, 0, 8, 27, 328
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/AuthHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 7, 47
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/CookieConsent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 249, 0, 0, 0, 8, 25, 282
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/DeveloperStudioDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 1, 10, 90
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 167, 0, 0, 0, 7, 9, 183
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/NavigationHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 0, 3, 7, 76
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/ProjectSubmissionFixed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 258, 0, 0, 0, 13, 27, 298
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/StableProjectForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 158, 0, 0, 0, 7, 14, 179
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/StripeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/SubscriptionButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 3, 12, 99
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/TinkerlyPlatform.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 221, 0, 0, 0, 16, 27, 264
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/logo.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 3, 25
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/lib/blog-cms.ts", "TypeScript", 0, 0, 486, 0, 0, 0, 0, 0, 0, 43, 95, 624
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/lib/stripe.ts", "TypeScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 7, 8, 112
"/Users/matty_btm/Desktop/tink-io-platform/frontend/src/lib/supabase.ts", "TypeScript", 0, 0, 246, 0, 0, 0, 0, 0, 0, 14, 30, 290
"/Users/matty_btm/Desktop/tink-io-platform/frontend/supabase.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/matty_btm/Desktop/tink-io-platform/frontend/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 7, 5, 114
"/Users/matty_btm/Desktop/tink-io-platform/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"/Users/matty_btm/Desktop/tink-io-platform/package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/matty_btm/Desktop/tink-io-platform/setup-tink.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 113, 0, 8, 9, 130
"/Users/matty_btm/Desktop/tink-io-platform/tinkerly-coming-soon/index.html", "HTML", 0, 0, 0, 0, 296, 0, 0, 0, 0, 21, 45, 362
"/Users/matty_btm/Desktop/tink-io-platform/tinkerly-coming-soon/package.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/matty_btm/Desktop/tink-io-platform/tinkerly-coming-soon/site.webmanifest", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/matty_btm/Desktop/tink-io-platform/vercel.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 133, 150, 1861, 47, 780, 6138, 246, 113, 205, 456, 1132, 11261
