Date : 2025-07-09 03:43:54
Directory : /Users/matty_btm/Desktop/tink-io-platform
Total : 64 files,  9673 codes, 456 comments, 1132 blanks, all 11261 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/app/api/stripe/webhooks/route.ts              | TypeScript         |        239 |         16 |         50 |        305 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/AnalysisResults.tsx                | TypeScript JSX     |        293 |          8 |         27 |        328 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/AuthHeader.tsx                     | TypeScript JSX     |         37 |          3 |          7 |         47 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/CookieConsent.tsx                  | TypeScript JSX     |        249 |          8 |         25 |        282 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/DeveloperStudioDashboard.tsx       | TypeScript JSX     |         79 |          1 |         10 |         90 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/Footer.tsx                         | TypeScript JSX     |        167 |          7 |          9 |        183 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/NavigationHeader.tsx               | TypeScript JSX     |         66 |          3 |          7 |         76 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/ProjectSubmissionFixed.tsx         | TypeScript JSX     |        258 |         13 |         27 |        298 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/StableProjectForm.tsx              | TypeScript JSX     |        158 |          7 |         14 |        179 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/StripeProvider.tsx                 | TypeScript JSX     |         15 |          0 |          4 |         19 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/SubscriptionButton.tsx             | TypeScript JSX     |         84 |          3 |         12 |         99 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/TinkerlyPlatform.tsx               | TypeScript JSX     |        221 |         16 |         27 |        264 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/components/logo.js                            | JavaScript         |         21 |          1 |          3 |         25 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/lib/blog-cms.ts                               | TypeScript         |        486 |         43 |         95 |        624 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/lib/stripe.ts                                 | TypeScript         |         97 |          7 |          8 |        112 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/src/lib/supabase.ts                               | TypeScript         |        246 |         14 |         30 |        290 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/supabase.ts                                       | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/tailwind.config.js                                | JavaScript         |        102 |          7 |          5 |        114 |
| /Users/matty_btm/Desktop/tink-io-platform/frontend/tsconfig.json                                     | JSON with Comments |         47 |          0 |          1 |         48 |
| /Users/matty_btm/Desktop/tink-io-platform/package.json                                               | JSON               |         24 |          0 |          1 |         25 |
| /Users/matty_btm/Desktop/tink-io-platform/setup-tink.sh                                              | Shell Script       |        113 |          8 |          9 |        130 |
| /Users/matty_btm/Desktop/tink-io-platform/tinkerly-coming-soon/index.html                            | HTML               |        296 |         21 |         45 |        362 |
| /Users/matty_btm/Desktop/tink-io-platform/tinkerly-coming-soon/package.json                          | JSON               |          9 |          0 |          1 |         10 |
| /Users/matty_btm/Desktop/tink-io-platform/tinkerly-coming-soon/site.webmanifest                      | JSON               |         20 |          0 |          1 |         21 |
| /Users/matty_btm/Desktop/tink-io-platform/vercel.json                                                | JSON               |          3 |          0 |          1 |          4 |
| Total                                                                                                |                    |      9,673 |        456 |      1,132 |     11,261 |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
